"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"11 (C2)","St2","830.37 pg/mL","133.69 pg/mL","610.26 pg/mL","324",""
"12 (D2)","St3","412.96 pg/mL","73.72 pg/mL","269.97 pg/mL","340",""
"13 (E2)","St4","194.26 pg/mL","42.50 pg/mL","124.62 pg/mL","388",""
"14 (F2)","St5","94.08 pg/mL","23.72 pg/mL","57.85 pg/mL","367",""
"15 (G2)","St6","60.60 pg/mL","12.92 pg/mL","26.47 pg/mL","333",""
"16 (H2)","St7","20.36 pg/mL","4.65 pg/mL","9.05 pg/mL","388",""
"17 (A3)","ConA","146.92 pg/mL","25.86 pg/mL","90.72 pg/mL","372",""
"18 (B3)","ConB","73.05 pg/mL","52.74 pg/mL","219.99 pg/mL","335",""
"19 (C3)","3507","888.91 pg/mL","60.78 pg/mL","62.88 pg/mL","349",""
"20 (D3)","3512","67.66 pg/mL","32.31 pg/mL","59.13 pg/mL","326",""
"21 (E3)","3509","133.75 pg/mL","113.89 pg/mL","507.81 pg/mL","340",""
"22 (F3)","A-1","153.33 pg/mL","25.69 pg/mL","49.32 pg/mL","377",""
"23 (G3)","A-2","139.04 pg/mL","25.53 pg/mL","55.41 pg/mL","367",""
"24 (H3)","QC-L-1","153.10 pg/mL","18.37 pg/mL","51.43 pg/mL","368",""
"25 (A4)","ConA","147.13 pg/mL","26.12 pg/mL","86.71 pg/mL","309",""
"26 (B4)","ConB","72.72 pg/mL","49.28 pg/mL","187.00 pg/mL","358",""
"27 (C4)","3507","790.15 pg/mL","53.57 pg/mL","63.40 pg/mL","368",""
"28 (D4)","3512","67.37 pg/mL","30.66 pg/mL","58.41 pg/mL","309",""
"29 (E4)","3509","121.76 pg/mL","105.12 pg/mL","462.32 pg/mL","362",""
"30 (F4)","A-1","136.02 pg/mL","24.12 pg/mL","51.04 pg/mL","362",""
"31 (G4)","A-2","140.00 pg/mL","23.12 pg/mL","51.08 pg/mL","355",""
"32 (H4)","QC-L-1","144.56 pg/mL","18.17 pg/mL","53.84 pg/mL","354",""
"33 (A5)","QC-L-2","141.53 pg/mL","17.43 pg/mL","54.20 pg/mL","316",""
"34 (B5)","45-1","61.48 pg/mL","29.33 pg/mL","150.22 pg/mL","358",""
"35 (C5)","45-2","65.29 pg/mL","30.48 pg/mL","164.65 pg/mL","343",""
"36 (D5)","48-1","156.09 pg/mL","22.04 pg/mL","130.37 pg/mL","373",""
"37 (E5)","48-2","151.74 pg/mL","22.00 pg/mL","121.33 pg/mL","330",""
"38 (F5)","52-1","151.41 pg/mL","12.92 pg/mL","40.41 pg/mL","348",""
"39 (G5)","52-2","138.55 pg/mL","13.68 pg/mL","39.94 pg/mL","384",""
"40 (H5)","background","<15.67 pg/mL","<4 pg/mL","<7.33 pg/mL","356",""
"41 (A6)","QC-L-2","142.83 pg/mL","19.06 pg/mL","50.77 pg/mL","316",""
"42 (B6)","45-1","65.00 pg/mL","30.80 pg/mL","162.09 pg/mL","331",""
"43 (C6)","45-2","64.25 pg/mL","29.91 pg/mL","160.04 pg/mL","368",""
"44 (D6)","48-1","154.84 pg/mL","22.35 pg/mL","132.06 pg/mL","325",""
"45 (E6)","48-2","151.00 pg/mL","22.43 pg/mL","121.05 pg/mL","351",""
"46 (F6)","52-1","148.38 pg/mL","13.53 pg/mL","39.51 pg/mL","326",""
"47 (G6)","52-2","139.89 pg/mL","13.23 pg/mL","39.75 pg/mL","344",""
"48 (H6)","background","<15.67 pg/mL","<4 pg/mL","<7.33 pg/mL","337",""

"DataType:","Count"
"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"1 (A1)","Background","100","132","133","365",""
"2 (B1)","St1","100","117","105","322",""
"3 (C1)","St2","105","139","100","344",""
"4 (D1)","St3","100","127","106","333",""
"5 (E1)","St4","100","116","100","316",""
"6 (F1)","St5","100","153","111","364",""
"7 (G1)","St6","100","106","100","306",""
"8 (H1)","St7","100","123","110","333",""
"9 (A2)","Background","100","166","119","385",""
"10 (B2)","St1","119","113","100","332",""
"11 (C2)","St2","100","124","100","324",""
"12 (D2)","St3","113","127","100","340",""
"13 (E2)","St4","127","161","100","388",""
"14 (F2)","St5","119","148","100","367",""
"15 (G2)","St6","100","118","115","333",""
"16 (H2)","St7","100","155","133","388",""
"17 (A3)","ConA","100","160","112","372",""
"18 (B3)","ConB","100","131","104","335",""
"19 (C3)","3507","100","128","121","349",""
"20 (D3)","3512","100","113","113","326",""
"21 (E3)","3509","102","138","100","340",""
"22 (F3)","A-1","133","144","100","377",""
"23 (G3)","A-2","113","154","100","367",""
"24 (H3)","QC-L-1","107","161","100","368",""
"25 (A4)","ConA","102","107","100","309",""
"26 (B4)","ConB","100","145","113","358",""
"27 (C4)","3507","100","165","103","368",""
"28 (D4)","3512","100","109","100","309",""
"29 (E4)","3509","100","147","115","362",""
"30 (F4)","A-1","112","150","100","362",""
"31 (G4)","A-2","114","141","100","355",""
"32 (H4)","QC-L-1","125","129","100","354",""
"33 (A5)","QC-L-2","105","111","100","316",""
"34 (B5)","45-1","116","142","100","358",""
"35 (C5)","45-2","100","134","109","343",""
"36 (D5)","48-1","100","139","134","373",""
"37 (E5)","48-2","102","128","100","330",""
"38 (F5)","52-1","100","148","100","348",""
"39 (G5)","52-2","100","149","135","384",""
"40 (H5)","background","100","141","115","356",""
"41 (A6)","QC-L-2","106","110","100","316",""
"42 (B6)","45-1","107","124","100","331",""
"43 (C6)","45-2","100","168","100","368",""
"44 (D6)","48-1","110","115","100","325",""
"45 (E6)","48-2","100","116","135","351",""
"46 (F6)","52-1","107","119","100","326",""
"47 (G6)","52-2","100","124","120","344",""
"48 (H6)","background","110","127","100","337",""

"DataType:","Mean"
"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"1 (A1)","Background","12.79","10.0378787878788","3.54887218045113","365",""
"2 (B1)","St1","20407.87","11678.9829059829","20544.5428571429","322",""
"3 (C1)","St2","14918.3047619048","6372.51079136691","13832.19","344",""
